DATE,DTB3
1/2/09,0.08
1/5/09,0.14
1/6/09,0.14
1/7/09,0.11
1/8/09,0.09
1/9/09,0.07
1/12/09,0.12
1/13/09,0.11
1/14/09,0.12
1/15/09,0.11
1/16/09,0.12
1/19/09,
1/20/09,0.13
1/21/09,0.11
1/22/09,0.1
1/23/09,0.11
1/26/09,0.15
1/27/09,0.13
1/28/09,0.19
1/29/09,0.23
1/30/09,0.24
2/2/09,0.27
2/3/09,0.32
2/4/09,0.3
2/5/09,0.29
2/6/09,0.28
2/9/09,0.32
2/10/09,0.31
2/11/09,0.3
2/12/09,0.29
2/13/09,0.29
2/16/09,
2/17/09,0.32
2/18/09,0.31
2/19/09,0.3
2/20/09,0.27
2/23/09,0.3
2/24/09,0.32
2/25/09,0.3
2/26/09,0.27
2/27/09,0.26
3/2/09,0.28
3/3/09,0.27
3/4/09,0.26
3/5/09,0.2
3/6/09,0.2
3/9/09,0.23
3/10/09,0.24
3/11/09,0.23
3/12/09,0.21
3/13/09,0.19
3/16/09,0.24
3/17/09,0.24
3/18/09,0.21
3/19/09,0.2
3/20/09,0.21
3/23/09,0.22
3/24/09,0.21
3/25/09,0.19
3/26/09,0.15
3/27/09,0.13
3/30/09,0.18
3/31/09,0.21
4/1/09,0.22
4/2/09,0.22
4/3/09,0.21
4/6/09,0.2
4/7/09,0.2
4/8/09,0.18
4/9/09,0.18
4/10/09,
4/13/09,0.18
4/14/09,0.17
4/15/09,0.15
4/16/09,0.13
4/17/09,0.14
4/20/09,0.14
4/21/09,0.15
4/22/09,0.14
4/23/09,0.1
4/24/09,0.1
4/27/09,0.13
4/28/09,0.13
4/29/09,0.11
4/30/09,0.14
5/1/09,0.15
5/4/09,0.19
5/5/09,0.19
5/6/09,0.19
5/7/09,0.18
5/8/09,0.18
5/11/09,0.19
5/12/09,0.19
5/13/09,0.17
5/14/09,0.16
5/15/09,0.17
5/18/09,0.19
5/19/09,0.18
5/20/09,0.18
5/21/09,0.19
5/22/09,0.18
5/25/09,
5/26/09,0.18
5/27/09,0.17
5/28/09,0.15
5/29/09,0.14
6/1/09,0.13
6/2/09,0.14
6/3/09,0.14
6/4/09,0.14
6/5/09,0.19
6/8/09,0.19
6/9/09,0.19
6/10/09,0.18
6/11/09,0.19
6/12/09,0.18
6/15/09,0.17
6/16/09,0.17
6/17/09,0.17
6/18/09,0.18
6/19/09,0.18
6/22/09,0.2
6/23/09,0.2
6/24/09,0.19
6/25/09,0.18
6/26/09,0.19
6/29/09,0.2
6/30/09,0.19
7/1/09,0.17
7/2/09,0.17
7/3/09,
7/6/09,0.19
7/7/09,0.19
7/8/09,0.18
7/9/09,0.19
7/10/09,0.18
7/13/09,0.18
7/14/09,0.18
7/15/09,0.18
7/16/09,0.19
7/17/09,0.17
7/20/09,0.19
7/21/09,0.19
7/22/09,0.19
7/23/09,0.19
7/24/09,0.18
7/27/09,0.19
7/28/09,0.19
7/29/09,0.19
7/30/09,0.18
7/31/09,0.18
8/3/09,0.19
8/4/09,0.18
8/5/09,0.18
8/6/09,0.17
8/7/09,0.18
8/10/09,0.19
8/11/09,0.18
8/12/09,0.17
8/13/09,0.17
8/14/09,0.18
8/17/09,0.18
8/18/09,0.18
8/19/09,0.17
8/20/09,0.17
8/21/09,0.17
8/24/09,0.17
8/25/09,0.17
8/26/09,0.15
8/27/09,0.15
8/28/09,0.15
8/31/09,0.15
9/1/09,0.14
9/2/09,0.14
9/3/09,0.15
9/4/09,0.14
9/7/09,
9/8/09,0.14
9/9/09,0.14
9/10/09,0.14
9/11/09,0.14
9/14/09,0.14
9/15/09,0.13
9/16/09,0.1
9/17/09,0.1
9/18/09,0.08
9/21/09,0.11
9/22/09,0.11
9/23/09,0.11
9/24/09,0.1
9/25/09,0.1
9/28/09,0.11
