"time","date","value","log_value","feb","mar","apr","may","jun","jly","aug","sep","oct","nov","dec","early","febe","mare","apre","maye","june","jlye","auge","sepe","octe","nove","dece","exp_resid","quad_resid","exp_predict","quad_predict","exp_seasonal_resid","quad_seasonal_resid","exp_seasonal_predict","quad_seasonal_predict","exp_seasonal_chg_resid","quad_seasonal_chg_resid","exp_seasonal_chg_predict","quad_seasonal_chg_predict"
1,1981-01-01,1.816,0.596636280179102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.39804562408137,-14.6530710093171,1.29895617762351,16.4690710093174,1.4713395660958,-14.0233979802822,1.23424941586989,15.8393979802826,1.87677531181858,-8.78473210314166,0.967617161502573,10.6007321031424
2,1981-02-01,1.79,0.582215619852664,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.36132943993154,-14.2999463813916,1.31489112590558,16.0899463813908,1.6683454058901,-6.69540741031596,1.07291930896348,8.48540741031518,1.61764472240177,-8.79122853410836,1.10654705276838,10.5812285341087
3,1981-03-01,2.398,0.874635056605323,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.80162371436975,-13.3164722627718,1.33102155620708,15.7144722627709,1.7478172324126,-15.1950263218387,1.37199700033277,17.5930263218378,1.72580400852733,-9.1238915040348,1.38949729410252,11.5218915040356
4,1981-04-01,2.175,0.777028664540647,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.61428004255627,-13.167648653458,1.34734986660419,15.3426486534578,1.69894907885133,-12.5346213221659,1.28020317211069,14.7096213221658,1.49759571447623,-9.14935591850088,1.45232787392203,11.3243559185006
5,1981-05-01,1.843,0.611394678687686,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.35129340393693,-13.1314755534517,1.36387848459151,14.9744755534516,1.4221796064442,-12.4973389154428,1.29589820557754,14.3403389154427,1.2663264231883,-9.25695726760847,1.45539093732228,11.0999572676085
6,1981-06-01,1.961,0.673454547214209,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.42038677706401,-12.6489529627523,1.3806098674429,14.6099529627521,1.40852720648866,-12.3894896153072,1.39223437855248,14.3504896153072,1.37777607460447,-8.62827227123572,1.42330821106976,10.5892722712358
7,1981-07-01,1.454,0.374318379111328,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.04039471840045,-12.7950808813596,1.39754650257688,14.2490808813595,1.01836421109864,-14.4118870953596,1.42777994763915,15.8658870953595,1.01217648273977,-8.92105185374825,1.43650838049931,10.3750518537483
8,1981-08-01,1.86,0.62057648772511,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.31477483143396,-12.0318593092738,1.41469090792634,13.8918593092737,1.29253210518424,-12.7254837553722,1.43903582165556,14.5854837553721,1.27164635119584,-8.09888489018335,1.46267081115035,9.95888489018347
9,1981-09-01,1.558,0.443402947448557,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.08795415791578,-11.9802882464948,1.43204563231294,13.5382882464946,1.044025413437,-15.1208619596716,1.49230083860791,16.6788619596715,1.05879341807808,-8.03318337384295,1.47148629128058,9.59118337384304
10,1981-10-01,1.484,0.394741144745189,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.02372132293615,-11.7043676930225,1.44961325582602,13.1883676930224,1.05913207139081,-9.31866647005825,1.40114726018188,10.8026664700581,1.01089286412952,-7.78277050822763,1.46800917551028,9.26677050822775
